geographic_level,code,location,startdate_action,enddate_action
Bundesland,8,Baden-Würtemberg,2019-12-23,2020-01-04
Bundesland,9,Bayern,2019-12-23,2020-01-04
Bundesland,11,Berlin,2019-12-23,2020-01-04
Bundesland,12,Brandenburg,2019-12-23,2020-01-03
Bundesland,4,Bremen,2019-12-21,2020-01-06
Bundesland,,Hamburg,2019-12-20,2020-01-03
Bundesland,6,Hessen,2019-12-23,2020-01-11
Bundesland,,Mecklenburg Vorpommern,2019-12-23,2020-01-04
Bundesland,3,Niedersachsen	,2019-12-23,2020-01-06
Bundesland,5,NRW,2019-12-23,2020-01-06
Bundesland,,Rheinland-Pfalz,2019-12-23,2020-01-06
Bundesland,10,Saarland,2019-12-23,2020-01-03
Bundesland,14,Sachsen,2019-12-21,2020-01-03
Bundesland,,Sachsen-Anhalt,2019-12-23,2020-01-04
Bundesland,,Schleswig-Holstein,2019-12-23,2020-01-06
Bundesland,16,Thüringen,2019-12-21,2020-01-03